URI,Label,
http://collection.britishmuseum.org/id/thesauri/script/brahmi,Brahmi?,
http://collection.britishmuseum.org/id/thesauri/script/braille,Braille,
http://collection.britishmuseum.org/id/thesauri/script/braille-script,Braille script,
http://collection.britishmuseum.org/id/thesauri/script/br-hm,Br?hm?,
http://collection.britishmuseum.org/id/thesauri/script/burmese,Burmese,
http://collection.britishmuseum.org/id/thesauri/script/burmese-and-pali,Burmese and Pali,
http://collection.britishmuseum.org/id/thesauri/script/burmese-and-roman,Burmese and Roman,
http://collection.britishmuseum.org/id/thesauri/script/burmese-roman,"Burmese, Roman",
http://collection.britishmuseum.org/id/thesauri/script/burnese,Burnese,
http://collection.britishmuseum.org/id/thesauri/script/cambodian,Cambodian,
http://collection.britishmuseum.org/id/thesauri/script/capital-lettering,Capital lettering,
http://collection.britishmuseum.org/id/thesauri/script/capital-letters-in-pen,Capital letters in pen,
http://collection.britishmuseum.org/id/thesauri/script/capital-letters-white-paint-over-black,Capital letters; white paint over black,
http://collection.britishmuseum.org/id/thesauri/script/capitals,Capitals,
http://collection.britishmuseum.org/id/thesauri/script/carian,Carian,
http://collection.britishmuseum.org/id/thesauri/script/carved-into-the-stone,Carved into the stone,
http://collection.britishmuseum.org/id/thesauri/script/charakteres,Charakteres,
http://collection.britishmuseum.org/id/thesauri/script/charakteres-magic-symbols,Charakteres (magic symbols),
http://collection.britishmuseum.org/id/thesauri/script/charakteres-magical-symbols,Charakteres (magical symbols),
http://collection.britishmuseum.org/id/thesauri/script/charakteres-magical-symbols0,Charakteres (magical symbols0,
http://collection.britishmuseum.org/id/thesauri/script/charakteres-magical-symbols,Charakteres [magical symbols],
http://collection.britishmuseum.org/id/thesauri/script/charakteres-and-numbers,Charakteres and numbers,
http://collection.britishmuseum.org/id/thesauri/script/charakteres-and-symbols,Charakteres and symbols,
http://collection.britishmuseum.org/id/thesauri/script/charakteres-or-hieroglyphs,Charakteres or hieroglyphs,
http://collection.britishmuseum.org/id/thesauri/script/charkteres-and-symbols,Charkteres and symbols,
http://collection.britishmuseum.org/id/thesauri/script/chinese,Chinese,
http://collection.britishmuseum.org/id/thesauri/script/chinese-and-manchu,Chinese and Manchu,
http://collection.britishmuseum.org/id/thesauri/script/chinese-and-manchurian,Chinese and Manchurian,
http://collection.britishmuseum.org/id/thesauri/script/chinese-and-roman,Chinese and Roman,
http://collection.britishmuseum.org/id/thesauri/script/chinese-characters,Chinese characters,
http://collection.britishmuseum.org/id/thesauri/script/chinese-english,"Chinese, English",
http://collection.britishmuseum.org/id/thesauri/script/chinese/english,Chinese/English,
http://collection.britishmuseum.org/id/thesauri/script/classical-cypriot-syllabary,Classical Cypriot Syllabary,
http://collection.britishmuseum.org/id/thesauri/script/classical-greek-alphabet,Classical Greek alphabet,
http://collection.britishmuseum.org/id/thesauri/script/classsical-greek-alphabet,Classsical Greek alphabet,
http://collection.britishmuseum.org/id/thesauri/script/clerical,Clerical,
http://collection.britishmuseum.org/id/thesauri/script/coptic,Coptic,
http://collection.britishmuseum.org/id/thesauri/script/coptic-greek,Coptic & Greek,
http://collection.britishmuseum.org/id/thesauri/script/coptic-probably,Coptic (probably),
http://collection.britishmuseum.org/id/thesauri/script/coptic-and-kufic,Coptic and Kufic,
http://collection.britishmuseum.org/id/thesauri/script/coptic-or-greek,Coptic or Greek ?,
http://collection.britishmuseum.org/id/thesauri/script/corrupt-greek,Corrupt Greek,
http://collection.britishmuseum.org/id/thesauri/script/cretan-hieroglyphic,Cretan Hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/cretan-hieroglyphic-script,Cretan Hieroglyphic script,
http://collection.britishmuseum.org/id/thesauri/script/cueniform,Cueniform,
http://collection.britishmuseum.org/id/thesauri/script/cufic,Cufic,
http://collection.britishmuseum.org/id/thesauri/script/cufic-strangeli,"Cufic, Strangeli",
http://collection.britishmuseum.org/id/thesauri/script/cuneiform,Cuneiform,
http://collection.britishmuseum.org/id/thesauri/script/cuneiform,Cuneiform (?),
http://collection.britishmuseum.org/id/thesauri/script/cuneiform-and-hieroglyphic,Cuneiform and hieroglyphic,
http://collection.britishmuseum.org/id/thesauri/script/cuneiform-and-pseudo-script,Cuneiform and pseudo-script,
