URI,Label,Scope Note
http://collection.britishmuseum.org/id/thesauri/currency/centim,centim,
http://collection.britishmuseum.org/id/thesauri/currency/centime,centime,
http://collection.britishmuseum.org/id/thesauri/currency/centimo,centimo,
http://collection.britishmuseum.org/id/thesauri/currency/centum,centum,
http://collection.britishmuseum.org/id/thesauri/currency/chaise,chaise,
http://collection.britishmuseum.org/id/thesauri/currency/chakram,chakram,
http://collection.britishmuseum.org/id/thesauri/currency/chalkous,chalkous,
http://collection.britishmuseum.org/id/thesauri/currency/chervonets,chervonets,
http://collection.britishmuseum.org/id/thesauri/currency/chhertum,chhertum,
http://collection.britishmuseum.org/id/thesauri/currency/chiemgauer,chiemgauer,
http://collection.britishmuseum.org/id/thesauri/currency/chon,chon,
http://collection.britishmuseum.org/id/thesauri/currency/christian,christian,
http://collection.britishmuseum.org/id/thesauri/currency/chuan,chuan,
http://collection.britishmuseum.org/id/thesauri/currency/cistophorus,cistophorus,
http://collection.britishmuseum.org/id/thesauri/currency/colon,colon,
http://collection.britishmuseum.org/id/thesauri/currency/condor,condor,
http://collection.britishmuseum.org/id/thesauri/currency/contorniate,contorniate,
http://collection.britishmuseum.org/id/thesauri/currency/coolo,coolo,
http://collection.britishmuseum.org/id/thesauri/currency/cordoba,cordoba,
http://collection.britishmuseum.org/id/thesauri/currency/corona,corona,
http://collection.britishmuseum.org/id/thesauri/currency/couronne,couronne,
http://collection.britishmuseum.org/id/thesauri/currency/courte,courte,
http://collection.britishmuseum.org/id/thesauri/currency/courte/korte,courte/korte,
http://collection.britishmuseum.org/id/thesauri/currency/crown,crown,
http://collection.britishmuseum.org/id/thesauri/currency/cruzado,cruzado,
http://collection.britishmuseum.org/id/thesauri/currency/cruzado-novo,cruzado novo,
http://collection.britishmuseum.org/id/thesauri/currency/cruzeiro,cruzeiro,
http://collection.britishmuseum.org/id/thesauri/currency/cruzeiro-reais,cruzeiro reais,
http://collection.britishmuseum.org/id/thesauri/currency/cupon,cupon,
http://collection.britishmuseum.org/id/thesauri/currency/custom-gold-unit,custom gold unit,
http://collection.britishmuseum.org/id/thesauri/currency/cym,cym,
http://collection.britishmuseum.org/id/thesauri/currency/daalder,daalder,
http://collection.britishmuseum.org/id/thesauri/currency/dalasi,dalasi,
http://collection.britishmuseum.org/id/thesauri/currency/daler,daler,
http://collection.britishmuseum.org/id/thesauri/currency/dam,dam,
http://collection.britishmuseum.org/id/thesauri/currency/daric,daric,
http://collection.britishmuseum.org/id/thesauri/currency/decade,decade,
http://collection.britishmuseum.org/id/thesauri/currency/decadrachm,decadrachm,
http://collection.britishmuseum.org/id/thesauri/currency/decime,decime,
http://collection.britishmuseum.org/id/thesauri/currency/decimo,decimo,
http://collection.britishmuseum.org/id/thesauri/currency/decussis,decussis,
http://collection.britishmuseum.org/id/thesauri/currency/dem,dem,
http://collection.britishmuseum.org/id/thesauri/currency/demy,demy,
http://collection.britishmuseum.org/id/thesauri/currency/denar,denar,
http://collection.britishmuseum.org/id/thesauri/currency/denarius,denarius,
http://collection.britishmuseum.org/id/thesauri/currency/denarius-serratus,denarius serratus,
http://collection.britishmuseum.org/id/thesauri/currency/denaro,denaro,
http://collection.britishmuseum.org/id/thesauri/currency/denier,denier,
http://collection.britishmuseum.org/id/thesauri/currency/deut,deut,
http://collection.britishmuseum.org/id/thesauri/currency/dextans,dextans,
http://collection.britishmuseum.org/id/thesauri/currency/diao,diao,
http://collection.britishmuseum.org/id/thesauri/currency/dichalka,dichalka,
http://collection.britishmuseum.org/id/thesauri/currency/dichalkous,dichalkous,
http://collection.britishmuseum.org/id/thesauri/currency/dicken,dicken,
http://collection.britishmuseum.org/id/thesauri/currency/didrachm,didrachm,
http://collection.britishmuseum.org/id/thesauri/currency/dime,dime,
http://collection.britishmuseum.org/id/thesauri/currency/dinar,dinar,
http://collection.britishmuseum.org/id/thesauri/currency/dinero,dinero,
http://collection.britishmuseum.org/id/thesauri/currency/diobol,diobol,
http://collection.britishmuseum.org/id/thesauri/currency/dirham,dirham,
http://collection.britishmuseum.org/id/thesauri/currency/dirhem,dirhem,
http://collection.britishmuseum.org/id/thesauri/currency/dobla,dobla,
http://collection.britishmuseum.org/id/thesauri/currency/dobra,dobra,
http://collection.britishmuseum.org/id/thesauri/currency/dodrans,dodrans,
http://collection.britishmuseum.org/id/thesauri/currency/doit,doit,
http://collection.britishmuseum.org/id/thesauri/currency/dollar,dollar,
http://collection.britishmuseum.org/id/thesauri/currency/dong,dong,
http://collection.britishmuseum.org/id/thesauri/currency/doppelassis,doppelassis,
http://collection.britishmuseum.org/id/thesauri/currency/doppelsterling,doppelsterling,
http://collection.britishmuseum.org/id/thesauri/currency/doppia,doppia,
http://collection.britishmuseum.org/id/thesauri/currency/double,double,
http://collection.britishmuseum.org/id/thesauri/currency/double-crown,double crown,
http://collection.britishmuseum.org/id/thesauri/currency/double-daric,double daric,
http://collection.britishmuseum.org/id/thesauri/currency/double-dinar,double dinar,
http://collection.britishmuseum.org/id/thesauri/currency/double-duit,double duit,
http://collection.britishmuseum.org/id/thesauri/currency/double-litra,double litra,
http://collection.britishmuseum.org/id/thesauri/currency/doubloon,doubloon,
http://collection.britishmuseum.org/id/thesauri/currency/doudou,doudou,
http://collection.britishmuseum.org/id/thesauri/currency/drachm,drachm,
http://collection.britishmuseum.org/id/thesauri/currency/drachma,drachma,
http://collection.britishmuseum.org/id/thesauri/currency/dram,dram,
http://collection.britishmuseum.org/id/thesauri/currency/dreier,dreier,
http://collection.britishmuseum.org/id/thesauri/currency/dreiling,dreiling,
http://collection.britishmuseum.org/id/thesauri/currency/drielander,drielander,
http://collection.britishmuseum.org/id/thesauri/currency/dub,dub,
http://collection.britishmuseum.org/id/thesauri/currency/ducat,ducat,
http://collection.britishmuseum.org/id/thesauri/currency/ducaton,ducaton,
http://collection.britishmuseum.org/id/thesauri/currency/ducatone,ducatone,
http://collection.britishmuseum.org/id/thesauri/currency/dud,dud,
http://collection.britishmuseum.org/id/thesauri/currency/duetto,duetto,
http://collection.britishmuseum.org/id/thesauri/currency/duit,duit,
http://collection.britishmuseum.org/id/thesauri/currency/dukat,dukat,
http://collection.britishmuseum.org/id/thesauri/currency/dukat-kurant,dukat kurant,
http://collection.britishmuseum.org/id/thesauri/currency/duplone,duplone,
http://collection.britishmuseum.org/id/thesauri/currency/dupondius,dupondius,
http://collection.britishmuseum.org/id/thesauri/currency/dupondius-or-as,dupondius or as,
http://collection.britishmuseum.org/id/thesauri/currency/eagle,eagle,
http://collection.britishmuseum.org/id/thesauri/currency/ealus,ealus,
http://collection.britishmuseum.org/id/thesauri/currency/ecu,ecu,
http://collection.britishmuseum.org/id/thesauri/currency/ecu-au-soleil,ecu au soleil,
http://collection.britishmuseum.org/id/thesauri/currency/ecu-philippus,ecu philippus,
http://collection.britishmuseum.org/id/thesauri/currency/ekuele,ekuele,
http://collection.britishmuseum.org/id/thesauri/currency/emlangeni,emlangeni,
http://collection.britishmuseum.org/id/thesauri/currency/emlani,emlani,
http://collection.britishmuseum.org/id/thesauri/currency/englisch,englisch,
http://collection.britishmuseum.org/id/thesauri/currency/ernest,ernest,
http://collection.britishmuseum.org/id/thesauri/currency/escalin,escalin,
http://collection.britishmuseum.org/id/thesauri/currency/escudo,escudo,
http://collection.britishmuseum.org/id/thesauri/currency/escudo-ouro,escudo ouro,
http://collection.britishmuseum.org/id/thesauri/currency/esterlin,esterlin,
http://collection.britishmuseum.org/id/thesauri/currency/euro,euro,
http://collection.britishmuseum.org/id/thesauri/currency/eurolega,eurolega,
http://collection.britishmuseum.org/id/thesauri/currency/excelente,excelente,
http://collection.britishmuseum.org/id/thesauri/currency/eyrir,eyrir,
http://collection.britishmuseum.org/id/thesauri/currency/fals,fals,
http://collection.britishmuseum.org/id/thesauri/currency/falus,falus,
http://collection.britishmuseum.org/id/thesauri/currency/fanam,fanam,
http://collection.britishmuseum.org/id/thesauri/currency/fano,fano,
http://collection.britishmuseum.org/id/thesauri/currency/fanon,fanon,
http://collection.britishmuseum.org/id/thesauri/currency/farthing,farthing,
http://collection.britishmuseum.org/id/thesauri/currency/fen,fen,
http://collection.britishmuseum.org/id/thesauri/currency/fenigow,fenigow,
http://collection.britishmuseum.org/id/thesauri/currency/feninga,feninga,
http://collection.britishmuseum.org/id/thesauri/currency/filler,filler,
http://collection.britishmuseum.org/id/thesauri/currency/fils,fils,
http://collection.britishmuseum.org/id/thesauri/currency/fiorino,fiorino,
http://collection.britishmuseum.org/id/thesauri/currency/fleece,fleece,
http://collection.britishmuseum.org/id/thesauri/currency/florin,florin,
http://collection.britishmuseum.org/id/thesauri/currency/follis,follis,
http://collection.britishmuseum.org/id/thesauri/currency/forint,forint,
http://collection.britishmuseum.org/id/thesauri/currency/franc,franc,
http://collection.britishmuseum.org/id/thesauri/currency/franc-a-cheval,franc-a-cheval,
http://collection.britishmuseum.org/id/thesauri/currency/franc-a-pied,franc-a-pied,
http://collection.britishmuseum.org/id/thesauri/currency/franchi,franchi,
http://collection.britishmuseum.org/id/thesauri/currency/franco,franco,
http://collection.britishmuseum.org/id/thesauri/currency/franga-ar,franga ar,
http://collection.britishmuseum.org/id/thesauri/currency/frank,frank,
http://collection.britishmuseum.org/id/thesauri/currency/franken,franken,
http://collection.britishmuseum.org/id/thesauri/currency/frederick,frederick,
http://collection.britishmuseum.org/id/thesauri/currency/friedman,friedman,
http://collection.britishmuseum.org/id/thesauri/currency/fuang,fuang,
http://collection.britishmuseum.org/id/thesauri/currency/fulus,fulus,
http://collection.britishmuseum.org/id/thesauri/currency/fun,fun,
http://collection.britishmuseum.org/id/thesauri/currency/funfer,funfer,
http://collection.britishmuseum.org/id/thesauri/currency/gadhaiya-paisa,gadhaiya paisa,
http://collection.britishmuseum.org/id/thesauri/currency/george-noble,george noble,
http://collection.britishmuseum.org/id/thesauri/currency/gersh,gersh,
http://collection.britishmuseum.org/id/thesauri/currency/gigot,gigot,
http://collection.britishmuseum.org/id/thesauri/currency/gold-mark,gold mark,
http://collection.britishmuseum.org/id/thesauri/currency/golde,golde,
http://collection.britishmuseum.org/id/thesauri/currency/goldgulden,goldgulden,
