URI,Label,Scope note
http://collection.britishmuseum.org/id/thesauri/department/E,"BM Department Africa, Oceania and the Americas","Department Africa, Oceania and the Americas at The British Museum"
http://collection.britishmuseum.org/id/thesauri/department/Y,BM Department Ancient Egypt and Sudan,Department Ancient Egypt and Sudan at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/A,BM Department Asia,Department Asia at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/C,BM Department Coins and Medals,Department Coins and Medals at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/G,BM Department Greek and Roman,Department Greek and Roman at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/W,BM Department Middle East,Department Middle East at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/H,BM Department Prehistory and Europe,Department Prehistory and Europe at The British Museum
http://collection.britishmuseum.org/id/thesauri/department/P,BM Department Prints and Drawings,Department Prints and Drawings at The British Museum
